"term","estimate","beta_std","conf.low","conf.high","std.error","statistic","p.value","outcome","r2_adj","f2"
"acculturation_mean",2.4383288845503,0.122425382669185,-1.35872629135827,6.23538406045888,1.90872153797935,1.27746705636885,0.205042454044057,"flu_fon_total",0.544447886762444,1.32898844923771
"edad",-0.0809072591085782,-0.119956134567393,-0.21140407922534,0.0495895610081836,0.0655987547336808,-1.23336577709512,0.220963160636098,"flu_sem_total",0.496541533946483,1.1073746521194
"educacion",0.857491392690742,0.440819123065242,0.455995410206355,1.25898737517513,0.201825887082812,4.24866901409383,5.64726380845358e-05,"flu_sem_total",0.496541533946483,1.1073746521194
"generoFemale",-2.22860895132656,-0.135375249964037,-4.82501372123866,0.367795818585544,1.30517295010276,-1.70752002725087,0.0915092032844224,"flu_sem_total",0.496541533946483,1.1073746521194
"dom_L1L2",-1.15909581479336,-0.174836356944066,-2.36031290844577,0.0421212788590382,0.603833453090306,-1.91956210584447,0.0583911845612732,"flu_sem_total",0.496541533946483,1.1073746521194
"acculturation_mean",1.40269594264056,0.105349210074355,-1.26582824360844,4.07122012888956,1.34142627719217,1.04567501508666,0.298783802851852,"flu_sem_total",0.496541533946483,1.1073746521194
"edad",-0.0393518322891215,-0.0902556573829682,-0.1120568374273,0.0333531728490572,0.0365476936196837,-1.0767254617656,0.28476053892197,"bta_total",0.626025998414594,1.83703039585172
"educacion",0.733683008069661,0.583463400953489,0.50999351553362,0.957372500605703,0.112445285212651,6.52480009884056,5.26481734804343e-09,"bta_total",0.626025998414594,1.83703039585172
"generoFemale",0.0313912909321266,0.00294977627418041,-1.41516979744036,1.47795237930461,0.727164125214146,0.0431694714351895,0.965671388484195,"bta_total",0.626025998414594,1.83703039585172
"dom_L1L2",-0.901728199057386,-0.210408152632444,-1.57097435300906,-0.232482045105714,0.336419801419329,-2.68036600477458,0.00888738126829829,"bta_total",0.626025998414594,1.83703039585172
"acculturation_mean",0.597145939942006,0.0693781520493827,-0.889595763794479,2.08388764367849,0.747362305751826,0.799004626465999,0.426596013901734,"bta_total",0.626025998414594,1.83703039585172
"edad",0.0476282444461636,0.0506619292360464,-0.129880262686587,0.225136751578914,0.0892308104682118,0.533764561772427,0.594948432012288,"sdmt_correct",0.520524428577744,1.21278345132152
"educacion",1.86140641753311,0.686521337516561,1.31527086873711,2.40754196632911,0.274533983929706,6.78024043103427,1.70582723343467e-09,"sdmt_correct",0.520524428577744,1.21278345132152
"generoFemale",1.61979346340137,0.0705906562238961,-1.91197025472658,5.15155718152931,1.7753635813922,0.912372812182599,0.364247117180458,"sdmt_correct",0.520524428577744,1.21278345132152
"dom_L1L2",-1.05784616461874,-0.114476700312182,-2.69180362692161,0.576111297684137,0.821365415026739,-1.28791174459701,0.201399402134176,"sdmt_correct",0.520524428577744,1.21278345132152
"acculturation_mean",1.05557923638947,0.056877533882995,-2.57428503252427,4.6854435053032,1.8246772272303,0.578501896465132,0.564510865693566,"sdmt_correct",0.520524428577744,1.21278345132152
"edad",-0.569364710555972,-0.150200387092397,-1.37375914339947,0.235029722287524,0.404356773307008,-1.40807511618875,0.162888866612237,"tmt_a_inv",0.394390099060549,0.751912589457771
"educacion",5.73119278571226,0.524229198390284,3.25633452609718,8.20605104532734,1.24407337916628,4.60679641706749,1.48144768665156e-05,"tmt_a_inv",0.394390099060549,0.751912589457771
"generoFemale",-9.55906589458978,-0.103315715693548,-25.5635443213965,6.44541253221695,8.0452064197519,-1.18816912778287,0.238196757080144,"tmt_a_inv",0.394390099060549,0.751912589457771
"dom_L1L2",-1.37083183157626,-0.0367910449899663,-8.77524476597485,6.03358110282233,3.72208508679299,-0.368296747551623,0.713601058626009,"tmt_a_inv",0.394390099060549,0.751912589457771
"acculturation_mean",-1.51964197240523,-0.0203074108400269,-17.968671131938,14.9293871871276,8.2686752709981,-0.183783003032577,0.85463739734749,"tmt_a_inv",0.394390099060549,0.751912589457771
"edad",-0.0439682337716573,-0.00366209275541612,-2.71274483533966,2.62480836779635,1.34155316251081,-0.0327741270344947,0.973934355531713,"tmt_b_inv",0.335493972069086,0.596638051666257
"educacion",19.0016951159611,0.548754820813879,10.790743441283,27.2126467906392,4.12751977063792,4.6036593818724,1.49928323481049e-05,"tmt_b_inv",0.335493972069086,0.596638051666257
"generoFemale",-22.2590203046065,-0.0759568232262142,-75.3578183591573,30.8397777499443,26.6919533143959,-0.833922495009066,0.40674737508079,"tmt_b_inv",0.335493972069086,0.596638051666257
"dom_L1L2",-4.00019268056886,-0.0338960169238887,-28.5661558210859,20.5657704599482,12.348933785586,-0.323930207257082,0.746815655190536,"tmt_b_inv",0.335493972069086,0.596638051666257
"acculturation_mean",10.2779914398278,0.0433642001787127,-44.2957131347934,64.851696014449,27.4333662544096,0.374652944320156,0.70888577445718,"tmt_b_inv",0.335493972069086,0.596638051666257
"edad",-0.023155037276254,-0.165864827252811,-0.0518397592090435,0.00552968465653555,0.0144193708091068,-1.60582854708404,0.11215603876634,"wcst_cat",0.43217728331856,0.86849799873598
"educacion",0.183503549764764,0.455773393649618,0.0952500535922737,0.271757045937254,0.0443636821543164,4.13634623759267,8.48778165882012e-05,"wcst_cat",0.43217728331856,0.86849799873598
"generoFemale",-0.0165985735877451,-0.004871357597859,-0.587318601732942,0.554121454557452,0.286892225530079,-0.0578564774875883,0.954003707486305,"wcst_cat",0.43217728331856,0.86849799873598
"dom_L1L2",-0.180487872956355,-0.131532865052319,-0.444529389688355,0.0835536437756448,0.13272963034742,-1.35981598444845,0.177615404450122,"wcst_cat",0.43217728331856,0.86849799873598
"acculturation_mean",0.174759926922881,0.0634137505012716,-0.411812789446659,0.76133264329242,0.294861129337602,0.592685537478183,0.55502261134511,"wcst_cat",0.43217728331856,0.86849799873598
"edad",-0.131087970354368,-0.147463211196654,-0.302625818409276,0.0404498777005391,0.086229451507163,-1.52022270886739,0.13230173322734,"stroop_pc_calc",0.499210225330731,1.11860477873532
"educacion",1.05868742773017,0.412937464106531,0.5309216417406,1.58645321371974,0.265299785243666,3.99053254701211,0.000142721652839073,"stroop_pc_calc",0.499210225330731,1.11860477873532
"generoFemale",-2.62544317445552,-0.121002375823074,-6.03841282775216,0.787526478841119,1.71564762267602,-1.53029278259392,0.129793107677195,"stroop_pc_calc",0.499210225330731,1.11860477873532
"dom_L1L2",-0.819155324770091,-0.0937485465519455,-2.39815315098177,0.759842501441588,0.793738046904107,-1.03202224961386,0.305095988735891,"stroop_pc_calc",0.499210225330731,1.11860477873532
"acculturation_mean",3.46826906404102,0.197636156175094,-0.039501439347903,6.97603956742994,1.76330255946439,1.96691659376626,0.0525749519984982,"stroop_pc_calc",0.499210225330731,1.11860477873532
